title,last_name,first_name,status,raw_time,index_page,day_period,date,pdf_name
M,BEAUQUIER,Antoine,absent,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,CANAL,Grégory,forgive,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,MESSAS,Emmanuel,forgive,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,CONNAULT,François,legit_forgive,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,LEFEVRE,Franck,legit_forgive,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
Mme,PATRIE,Béatrice,legit_forgive,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
Mme,PIRILLO,Aurélie,legit_forgive,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
Mme,RIVIER,Emmanuelle,legit_forgive,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,SZPINER,Francis,legit_forgive,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
Mme,AKKARI,Maya,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,ALPHAND,David,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,AQUA,Jean-Noël,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
Mme,BADAT-KARAM,Samia,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,BADINA-SERPETTE,Frédéric,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,BALADI,Vincent,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
Mme,BALDINI,Véronique,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,BAUDRIER,Jacques,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,BELLIARD,David,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,BERNARD,René-François,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,BERTHAULT,Jean-Didier,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
Mme,BERTHOUT,Florence,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
Mme,BIDARD,Hélène,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
Mme,BIRABEN,Anne,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
Mme,BLAUEL,Célia,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,BLOCHE,Patrick,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
Mme,BOËLLE,Sandra,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,BOHBOT,Jack-Yves,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,BONNET-OULALDJ,Nicolas,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
Mme,BOUGERET,Alix,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,BOULARD,Geoffroy,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
M,BOURNAZEL,Pierre-Yves,present,Mardi 31 mai 2022 - Matin,410,Matin,2022-05-31,"Séance du Conseil de Paris des 31 mai, 1er et 2 juin 2022"
